title,company,experience,location,salary,description,skills,url,search_role
Data Scientist - Python - 6+ Years - PAN India (Hybrid),Crescendo Global,6-10 Yrs,"Hybrid - Bengaluru, Delhi / NCR, Mumbai (All Areas)",Not disclosed,Data Scientist - Python - 6+ Years - PAN India (Hybrid)Are you ready to shape the futur...,"Python, Data Science, Artificial Intelligence, Machine Learning, Deep Learning, Data, Machine, Science",https://www.naukri.com/job-listings-data-scientist-python-6-years-pan-india-hybrid-crescendo-global-leadership-hiring-india-bengaluru-delhi-ncr-mumbai-all-areas-6-to-10-years-210226010658,data-scientist
Data Scientist – Search,Tavant Technologies,6-8 Yrs,Bengaluru,Not disclosed,We are looking for an  AI Engineer  to modernize and enhance our existing  regex/keywo...,"Usage, metadata, ECS, query, Cloud, Information retrieval, Continuous improvement, AWS",https://www.naukri.com/job-listings-data-scientist-search-tavant-technologies-india-pvt-ltd-bengaluru-6-to-8-years-160226508393,data-scientist
Data Scientist,Tkil,3-6 Yrs,Pune,Not disclosed,Role & responsibilities  Data Scientist-3-6 yearsPython NumPySQL / Mongo DBMachine lear...,"Yolo, MongoDB, Computer Vision, Python, Azure, Pandas, AWS, Numpy",https://www.naukri.com/job-listings-data-scientist-tkil-pune-3-to-6-years-170226021827,data-scientist
Data Scientist,Evnek,1-5 Yrs,Bengaluru,Not disclosed,Role Data Scientist. LocationBangalore. TimingsFull Time (As per company timings). Noti...,"python, hypothesis testing, business acumen, sql, data science, scipy, natural language processing, scikit-learn",https://www.naukri.com/job-listings-data-scientist-evnek-bengaluru-1-to-5-years-200226921177,data-scientist
Data Scientist with Electrical Engineering,Synectics Inc.,6-11 Yrs,Hyderabad,Not disclosed,"Document all findings, analysis methodologies, and resolution steps to contribute to a ...","Computer science, Electrical engineering, Field operations, Statistical process control, Data analysis, Data center operations, Switchgear, Machine learning",https://www.naukri.com/job-listings-data-scientist-with-electrical-engineering-synectics-inc-hyderabad-6-to-11-years-200226502483,data-scientist
Data Scientist,Naukri Expert Assist,7-10 Yrs,Pune,Not disclosed,Communicate complex technical findings and recommendations to non-technical stakeholder...,"Data scientist, python, sql, Data",https://www.naukri.com/job-listings-data-scientist-naukri-expert-assist-pune-7-to-10-years-180226024302,data-scientist
Data Scientist - I,Netomi,1-6 Yrs,Gurugram,Not disclosed,"Bachelor s or Master s degree in Applied Mathematics, Statistics, Computer Science or a...","Computer science, Automation, Analytical, Machine learning, Information retrieval, Natural language processing, Customer service, Apache",https://www.naukri.com/job-listings-data-scientist-i-msg-ai-gurugram-1-to-6-years-200226500935,data-scientist
Data Scientist,Capgemini,6-11 Yrs,"Hybrid - Hyderabad, Chennai, Delhi / NCR",9-18 Lacs PA,"Bachelors or Master s degree in Computer Science, Statistics, Mathematics, or related f...","Predictive Modeling, Data Science, Artificial Intelligence, Natural Language Processing, Deep Learning, Statistical Modeling, Machine Learning, Predictive",https://www.naukri.com/job-listings-data-scientist-capgemini-hyderabad-chennai-delhi-ncr-6-to-11-years-021225014853,data-scientist
Data Scientist-Artificial Intelligence,IBM,3-7 Yrs,Hyderabad,Not disclosed,Required education . Bachelors Degree Preferred education . Masters Degree Required tec...,"data scientist, python, ai solutions, ai frameworks, ai, pyspark, cloud platforms, machine learning",https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-hyderabad-3-to-7-years-190226930770,data-scientist
Data Scientist - 5th Feb (Thursday)- Virtual Interview,Tata Consultancy Services,5-8 Yrs,Kolkata,Not disclosed,Required Skills. Data Scientist and Data ScienceExperience range : 5 - 8 years. .,"Data Science, Artificial Intelligence, Natural Language Processing, Machine Learning, Deep Learning, Python, Languages, Science",https://www.naukri.com/job-listings-data-scientist-5th-feb-thursday-virtual-interview-tata-consultancy-services-kolkata-5-to-8-years-030226017975,data-scientist
